,Unnamed: 0,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,0,역삼아레나빌딩,37.501087,127.04306899999999,서울,강남구,서울특별시 강남구 언주로 425 (역삼동),02-568-3762
1,1,논현역사거리,37.510178,127.022223,서울,강남구,서울특별시 강남구 강남대로 538 (논현동),02-3442-3672
2,2,국기원사거리,37.499517,127.03149499999999,서울,강남구,서울특별시 강남구 테헤란로 125 (역삼동),02-568-3668
3,3,대치대원빌딩R,37.494668,127.062583,서울,강남구,서울특별시 강남구 남부순환로 2947 (대치동),02-568-3704
4,4,삼성역섬유센터R,37.50775,127.06065100000001,서울,강남구,서울특별시 강남구 테헤란로 518 (대치동),02-568-3648
5,5,압구정R,37.5273669,127.033061,서울,강남구,서울특별시 강남구 언주로 861 (신사동),02-541-3622
6,6,수서역R,37.488008,127.10265,서울,강남구,서울특별시 강남구 광평로 281 (수서동),02-6181-3688
7,7,양재강남빌딩R,37.485192,127.036685,서울,강남구,서울특별시 강남구 남부순환로 2621 (도곡동),02-571-3604
8,8,선릉동신빌딩R,37.505321,127.050409,서울,강남구,서울특별시 강남구 테헤란로 409 (삼성동),02-2051-3562
9,9,봉은사로선정릉,37.511293,127.048409,서울,강남구,서울특별시 강남구 봉은사로 446 (삼성동),02-539-3564
10,10,강남오거리,37.502117,127.02667199999999,서울,강남구,서울특별시 강남구 봉은사로2길 39 (역삼동),02-557-3484
11,11,스타필드코엑스몰R,37.50999,127.06145500000001,서울,강남구,서울특별시 강남구 영동대로 513 (삼성동),02-6002-3467
12,12,강남구청정문,37.518181,127.04599499999999,서울,강남구,서울특별시 강남구 학동로 419 (청담동),02-514-3397
13,13,도곡공원,37.492805,127.04130900000001,서울,강남구,서울특별시 강남구 도곡로 205 (역삼동),02-565-3496
14,14,강남R,37.497710999999995,127.02843899999999,서울,강남구,서울특별시 강남구 강남대로 390 (역삼동),02-561-3478
15,15,대치은마사거리,37.498973,127.060172,서울,강남구,서울특별시 강남구 도곡로 457 (대치동),02-554-3315
16,16,청담영동대로,37.522156,127.056449,서울,강남구,서울특별시 강남구 영동대로 720 (청담동),02-3443-3371
17,17,압구정,37.526283,127.02956,서울,강남구,서울특별시 강남구 압구정로30길 17 (신사동),02-541-3306
18,18,신사가로수,37.521852,127.02251000000001,서울,강남구,서울특별시 강남구 압구정로12길 32 (신사동),02-3446-3356
19,19,청담스타R,37.525216,127.041827,서울,강남구,서울특별시 강남구 도산대로57길 24 (청담동),02-514-3364
20,20,강남우성,37.492396,127.03091,서울,강남구,서울특별시 강남구 강남대로 328 (역삼동),02-565-3347
21,21,학동사거리,37.52236449999999,127.03795430000002,서울,강남구,서울특별시 강남구 도산대로 328 (논현동) HS빌딩,02-758-8971
22,22,대치사거리,37.503331,127.05881699999999,서울,강남구,서울특별시 강남구 삼성로 402 (대치동),02-561-3287
23,23,포스코사거리,37.507530700000004,127.05742710000004,서울,강남구,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,02-554-3235
24,24,을지병원사거리,37.5191632,127.02864459999999,서울,강남구,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",02-758-8896
25,25,신사역,37.5162021,127.02074280000001,서울,강남구,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,02-758-8848
26,26,도곡역,37.492166999999995,127.05739799999999,서울,강남구,서울특별시 강남구 남부순환로 2909 (대치동),02-758-8809
27,27,서울세관사거리,37.514887,127.035653,서울,강남구,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,02-758-8798
28,28,청담사거리,37.5236351,127.0468651,서울,강남구,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,02-758-8726
29,29,한티역,37.496801,127.05505500000001,서울,강남구,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",02-758-8683
30,30,역삼초교사거리,37.4941059,127.03299730000003,서울,강남구,서울특별시 강남구 역삼로 123 (역삼동),02-758-8739
31,31,코엑스몰,37.511921,127.059024,서울,강남구,서울특별시 강남구 영동대로 513 (삼성동) 코엑스,02-758-8733
32,32,가로수길,37.523159299999996,127.02162499999996,서울,강남구,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",02-758-8661
33,33,역삼대로,37.501622999999995,127.039375,서울,강남구,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",02-758-8626
34,34,역삼포스코,37.499721,127.03358200000001,서울,강남구,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",02-758-8631
35,35,강남대로,37.50314,127.02554599999999,서울,강남구,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",02-758-8624
36,36,청담,37.5243631,127.05155990000004,서울,강남구,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",02-758-8659
37,37,삼성도심공항,37.509786299999995,127.05791339999996,서울,강남구,서울특별시 강남구 테헤란로87길 33 (삼성동),02-758-8635
38,38,삼성교,37.507794,127.06517,서울,강남구,"서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 (대치동)",02-758-8592
39,39,학동역,37.51464884,127.03073020000001,서울,강남구,서울특별시 강남구 논현로 704 (논현동),02-758-8101
